Weight	Self Weight		Symbol Name
3.62 s  100.0%	0 s	 	convolve (66391)
3.62 s  100.0%	0 s	 	 Main Thread  0x5edaec
3.62 s   99.9%	0 s	 	  start
3.62 s   99.9%	0 s	 	   main
3.49 s   96.2%	33.00 ms	 	    Convolve::Convolver::convolve(std::__1::vector<float, std::__1::allocator<float>> const&, std::__1::vector<float, std::__1::allocator<float>> const&)
3.14 s   86.5%	1.85 s	 	     Convolve::Convolver::fft(std::__1::vector<float, std::__1::allocator<float>>&, int, int)
1.28 s   35.4%	1.28 s	 	      std::__1::vector<float, std::__1::allocator<float>>::operator[][abi:v160006](unsigned long)
154.00 ms    4.2%	0 s	 	     std::__1::vector<float, std::__1::allocator<float>>::vector(unsigned long, float const&)
154.00 ms    4.2%	0 s	 	      std::__1::vector<float, std::__1::allocator<float>>::vector(unsigned long, float const&)
154.00 ms    4.2%	40.00 ms	 	       std::__1::vector<float, std::__1::allocator<float>>::__construct_at_end(unsigned long, float const&)
50.00 ms    1.3%	26.00 ms	 	        void std::__1::allocator_traits<std::__1::allocator<float>>::construct[abi:v160006]<float, float const&, void>(std::__1::allocator<float>&, float*, float const&)
12.00 ms    0.3%	12.00 ms	 	         DYLD-STUB$$void std::__1::allocator<float>::construct[abi:v160006]<float, float const&>(float*, float const&)
12.00 ms    0.3%	12.00 ms	 	         void std::__1::allocator<float>::construct[abi:v160006]<float, float const&>(float*, float const&)
47.00 ms    1.2%	19.00 ms	 	        std::__1::vector<float, std::__1::allocator<float>>::__alloc[abi:v160006]()
28.00 ms    0.7%	18.00 ms	 	         std::__1::__compressed_pair<float*, std::__1::allocator<float>>::second[abi:v160006]()
10.00 ms    0.2%	10.00 ms	 	          std::__1::__compressed_pair_elem<std::__1::allocator<float>, 1, true>::__get[abi:v160006]()
12.00 ms    0.3%	12.00 ms	 	        float* std::__1::__to_address[abi:v160006]<float>(float*)
5.00 ms    0.1%	5.00 ms	 	        DYLD-STUB$$void std::__1::allocator_traits<std::__1::allocator<float>>::construct[abi:v160006]<float, float const&, void>(std::__1::allocator<float>&, float*, float const&)
127.00 ms    3.5%	0 s	 	     std::__1::vector<float, std::__1::allocator<float>>::~vector[abi:v160006]()
127.00 ms    3.5%	0 s	 	      std::__1::vector<float, std::__1::allocator<float>>::~vector[abi:v160006]()
127.00 ms    3.5%	0 s	 	       std::__1::vector<float, std::__1::allocator<float>>::__destroy_vector::operator()[abi:v160006]()
127.00 ms    3.5%	0 s	 	        std::__1::vector<float, std::__1::allocator<float>>::__clear[abi:v160006]()
127.00 ms    3.5%	50.00 ms	 	         std::__1::vector<float, std::__1::allocator<float>>::__base_destruct_at_end[abi:v160006](float*)
35.00 ms    0.9%	22.00 ms	 	          void std::__1::allocator_traits<std::__1::allocator<float>>::destroy[abi:v160006]<float, void>(std::__1::allocator<float>&, float*)
13.00 ms    0.3%	13.00 ms	 	           std::__1::allocator<float>::destroy[abi:v160006](float*)
29.00 ms    0.8%	12.00 ms	 	          std::__1::vector<float, std::__1::allocator<float>>::__alloc[abi:v160006]()
17.00 ms    0.4%	10.00 ms	 	           std::__1::__compressed_pair<float*, std::__1::allocator<float>>::second[abi:v160006]()
7.00 ms    0.1%	7.00 ms	 	            std::__1::__compressed_pair_elem<std::__1::allocator<float>, 1, true>::__get[abi:v160006]()
8.00 ms    0.2%	8.00 ms	 	          DYLD-STUB$$void std::__1::allocator_traits<std::__1::allocator<float>>::destroy[abi:v160006]<float, void>(std::__1::allocator<float>&, float*)
5.00 ms    0.1%	5.00 ms	 	          float* std::__1::__to_address[abi:v160006]<float>(float*)
25.00 ms    0.6%	25.00 ms	 	     std::__1::vector<float, std::__1::allocator<float>>::operator[][abi:v160006](unsigned long)
11.00 ms    0.3%	0 s	 	     std::__1::vector<float, std::__1::allocator<float>>::vector(unsigned long)
11.00 ms    0.3%	0 s	 	      std::__1::vector<float, std::__1::allocator<float>>::vector(unsigned long)
11.00 ms    0.3%	1.00 ms	 	       std::__1::vector<float, std::__1::allocator<float>>::__construct_at_end(unsigned long)
5.00 ms    0.1%	4.00 ms	 	        std::__1::vector<float, std::__1::allocator<float>>::__alloc[abi:v160006]()
1.00 ms    0.0%	1.00 ms	 	         std::__1::__compressed_pair<float*, std::__1::allocator<float>>::second[abi:v160006]()
4.00 ms    0.1%	2.00 ms	 	        void std::__1::allocator_traits<std::__1::allocator<float>>::construct[abi:v160006]<float, void>(std::__1::allocator<float>&, float*)
2.00 ms    0.0%	2.00 ms	 	         void std::__1::allocator<float>::construct[abi:v160006]<float>(float*)
1.00 ms    0.0%	1.00 ms	 	        float* std::__1::__to_address[abi:v160006]<float>(float*)
73.00 ms    2.0%	9.00 ms	 	    Convolve::WavFile::write(char const*)
18.00 ms    0.4%	0 s	 	     std::__1::__wrap_iter<float*> std::__1::min_element[abi:v160006]<std::__1::__wrap_iter<float*>>(std::__1::__wrap_iter<float*>, std::__1::__wrap_iter<float*>)
18.00 ms    0.4%	0 s	 	      std::__1::__wrap_iter<float*> std::__1::min_element[abi:v160006]<std::__1::__wrap_iter<float*>, std::__1::__less<float, float>>(std::__1::__wrap_iter<float*>, std::__1::__wrap_iter<float*>, std::__1::__less<float, float>)
18.00 ms    0.4%	0 s	 	       std::__1::__wrap_iter<float*> std::__1::__min_element[abi:v160006]<std::__1::__less<float, float>&, std::__1::__wrap_iter<float*>, std::__1::__wrap_iter<float*>>(std::__1::__wrap_iter<float*>, std::__1::__wrap_iter<float*>, std::__1::__less<float, float>&)
18.00 ms    0.4%	4.00 ms	 	        std::__1::__wrap_iter<float*> std::__1::__min_element[abi:v160006]<std::__1::__less<float, float>&, std::__1::__wrap_iter<float*>, std::__1::__wrap_iter<float*>, std::__1::__identity>(std::__1::__wrap_iter<float*>, std::__1::__wrap_iter<float*>, std::__1::__less<float, float>&, std::__1::__identity&)
4.00 ms    0.1%	1.00 ms	 	         bool std::__1::operator!=[abi:v160006]<float*>(std::__1::__wrap_iter<float*> const&, std::__1::__wrap_iter<float*> const&)
